Included	Cycle	Curve	Y-Axis (stability_early)	X-Axis (Cycle number)	Ligand	Curve Marker	Sample
Yes	186	Fc2:1 - 3	36.7	186	Ag124-Fc		426_B1_1_01_F03
Yes	186	Fc2:2 - 3	87.7	186	Ag124 IgV		426_B1_1_01_F03
Yes	186	Fc3:1 - 3	-4.7	186	Ag124-Fc		426_B1_1_01_G03
Yes	186	Fc3:2 - 3	5.3	186	Ag124 IgV		426_B1_1_01_G03
Yes	186	Fc4:1 - 3	-2.3	186	Ag124-Fc		426_B1_1_01_H03
Yes	186	Fc4:2 - 3	8.9	186	Ag124 IgV		426_B1_1_01_H03
Yes	187	Fc1:1 - 3	4.6	187	Ag124-Fc		426_B1_1_01_E04
Yes	187	Fc1:2 - 3	27.8	187	Ag124 IgV		426_B1_1_01_E04
Yes	187	Fc2:1 - 3	5.1	187	Ag124-Fc		426_B1_1_01_F04
Yes	187	Fc2:2 - 3	22.7	187	Ag124 IgV		426_B1_1_01_F04
Yes	187	Fc3:1 - 3	1087.3	187	Ag124-Fc		426_B1_1_01_G04
Yes	187	Fc3:2 - 3	75.5	187	Ag124 IgV		426_B1_1_01_G04
Yes	187	Fc4:1 - 3	24.5	187	Ag124-Fc		426_B1_1_01_H04
Yes	187	Fc4:2 - 3	64.7	187	Ag124 IgV		426_B1_1_01_H04
Yes	188	Fc1:1 - 3	-4.4	188	Ag124-Fc		426_B1_1_01_E05
Yes	188	Fc1:2 - 3	9.5	188	Ag124 IgV		426_B1_1_01_E05
Yes	188	Fc2:1 - 3	389.6	188	Ag124-Fc		426_B1_1_01_F05
Yes	188	Fc2:2 - 3	66.0	188	Ag124 IgV		426_B1_1_01_F05
Yes	188	Fc3:1 - 3	-73.4	188	Ag124-Fc		426_B1_1_01_G05
Yes	188	Fc3:2 - 3	24.9	188	Ag124 IgV		426_B1_1_01_G05
Yes	188	Fc4:1 - 3	1238.4	188	Ag124-Fc		426_B1_1_01_H05
Yes	188	Fc4:2 - 3	38.8	188	Ag124 IgV		426_B1_1_01_H05
Yes	189	Fc1:1 - 3	798.4	189	Ag124-Fc		426_B1_1_01_E06
Yes	189	Fc1:2 - 3	44.4	189	Ag124 IgV		426_B1_1_01_E06
Yes	189	Fc2:1 - 3	399.6	189	Ag124-Fc		426_B1_1_01_F06
Yes	189	Fc2:2 - 3	50.7	189	Ag124 IgV		426_B1_1_01_F06
Yes	189	Fc3:1 - 3	21.2	189	Ag124-Fc		426_B1_1_01_G06
Yes	189	Fc3:2 - 3	63.5	189	Ag124 IgV		426_B1_1_01_G06
Yes	189	Fc4:1 - 3	-15.9	189	Ag124-Fc		426_B1_1_01_H06
Yes	189	Fc4:2 - 3	11.7	189	Ag124 IgV		426_B1_1_01_H06
Yes	190	Fc1:1 - 3	-5.3	190	Ag124-Fc		426_B1_1_01_E07
Yes	190	Fc1:2 - 3	19.4	190	Ag124 IgV		426_B1_1_01_E07
Yes	190	Fc2:1 - 3	-5.2	190	Ag124-Fc		426_B1_1_01_F07
Yes	190	Fc2:2 - 3	7.1	190	Ag124 IgV		426_B1_1_01_F07
Yes	190	Fc3:1 - 3	-3.8	190	Ag124-Fc		426_B1_1_01_G07
Yes	190	Fc3:2 - 3	10.4	190	Ag124 IgV		426_B1_1_01_G07
Yes	190	Fc4:1 - 3	24.5	190	Ag124-Fc		426_B1_1_01_H07
Yes	190	Fc4:2 - 3	59.2	190	Ag124 IgV		426_B1_1_01_H07
Yes	191	Fc1:1 - 3	828.1	191	Ag124-Fc		426_B1_1_01_E08
Yes	191	Fc1:2 - 3	44.5	191	Ag124 IgV		426_B1_1_01_E08
Yes	191	Fc2:1 - 3	25.6	191	Ag124-Fc		426_B1_1_01_F08
Yes	191	Fc2:2 - 3	67.3	191	Ag124 IgV		426_B1_1_01_F08
Yes	191	Fc3:1 - 3	2.7	191	Ag124-Fc		426_B1_1_01_G08
Yes	191	Fc3:2 - 3	19.2	191	Ag124 IgV		426_B1_1_01_G08
Yes	191	Fc4:1 - 3	526.5	191	Ag124-Fc		426_B1_1_01_H08
Yes	191	Fc4:2 - 3	56.9	191	Ag124 IgV		426_B1_1_01_H08
Yes	192	Fc1:1 - 3	-5.5	192	Ag124-Fc		426_B1_1_01_E09
Yes	192	Fc1:2 - 3	18.6	192	Ag124 IgV		426_B1_1_01_E09
Yes	192	Fc2:1 - 3	13.1	192	Ag124-Fc		426_B1_1_01_F09
Yes	192	Fc2:2 - 3	48.3	192	Ag124 IgV		426_B1_1_01_F09
Yes	192	Fc3:1 - 3	441.6	192	Ag124-Fc		426_B1_1_01_G09
Yes	192	Fc3:2 - 3	50.0	192	Ag124 IgV		426_B1_1_01_G09
Yes	192	Fc4:1 - 3	70.0	192	Ag124-Fc		426_B1_1_01_H09
Yes	192	Fc4:2 - 3	53.1	192	Ag124 IgV		426_B1_1_01_H09
Yes	193	Fc1:1 - 3	0.4	193	Ag124-Fc		426_B1_1_01_E10
Yes	193	Fc1:2 - 3	14.3	193	Ag124 IgV		426_B1_1_01_E10
Yes	193	Fc2:1 - 3	848.5	193	Ag124-Fc		426_B1_1_01_F10
Yes	193	Fc2:2 - 3	46.7	193	Ag124 IgV		426_B1_1_01_F10
